"id","task_id/id","work_summary_type_id/id","name","hours","create_date","write_date","user_id/id"
"__export__.project_task_work_531096","__export__.project_task_71859","__export__.project_task_work_summary_type_30","11./ Watched 1st video on Module creating and created a Real Estate Module for learning purposes, defined and created Model, BaseModel, Fields, xml file inside view folder that has tree view, form view, search view, action: ir.actions.act_window, 3 menuitems element and learned record tag. created a ir.model.access.csv file for access right of that model and Tested and Verified the output.","3.0","2022-01-20 14:01:00","2022-01-20 14:01:00","__export__.res_users_604"
"__export__.project_task_work_531095","__export__.project_task_71859","__export__.project_task_work_summary_type_30","10./ Folder Structure: Module Folder, __init__.py file and it's importance of sequence of import,   __manifest__.py file importance of sequence of data file, and depends files, models, views, wizard, reports, controllers, security, static, data.","0.5","2022-01-20 13:55:12","2022-01-20 13:55:12","__export__.res_users_604"
"__export__.project_task_work_531094","__export__.project_task_71859","__export__.project_task_work_summary_type_30","9./ Meeting with project manager: Discussed about 1. Module 2. Model: model contains business logic and in loose definition it is a set or records or a table, Logical partition : Business Model and Framework Model, Technical Partition: Model, Abstract Model, Transient Model, Odoo Model: ir.model,  3. Fields: Odoo Model: ir.model.fields, Datatypes of fields and attributes of fields, 4. View: visual element or UI list view, kanban view, calendar view, pivot view, graph view, activity view, form view, search view, we can specify multiple view on single model, 5. Action: what to do, can load view, run script in background, Types of action: Window, Server, Client, URL, Report. Odoo Model: ir.actions.actions, ir.actions.act_window. 6. Menu: Top Level Menu, and Other sub Menu, Odoo model: ir.ui.menu, 7./ Security: Odoo Model: ir.model.access, ir.rule, res.groups whole topic covered    ==>> Special Mention Domain and Context in ir.actions.act_window table records, view and view xml id sequence in ir.actions.act_window","2.0","2022-01-20 13:50:25","2022-01-20 13:50:25","__export__.res_users_604"
"__export__.project_task_work_530831","__export__.project_task_71859","__export__.project_task_work_summary_type_30","8./ Security: Odoo Model: ir.model.access, 2 types of rules: Access Rule and Record Rule, Access Rule defines create, read, update, delete access right to various user groups on Model and Menu. -> Record Rule or filter: Mode: ir.rule, it is CRUD activity tracker or trigger, It defines rule that allow valid user to read certain record or perform operation. It is second level security. For example: A salesperson can only access orders which are created by him only. while records created by other salesperson will not be visible to current salesperson. Global Rule: Applicable to all users, Group Rule: Applicable to particular user, Rule Applicable to user = Global Rule 1 and Global Rule 2 and ... and (Group Rule 1 or Group Rule 2 or ...)","1.0","2022-01-20 04:04:48","2022-01-20 04:19:51","__export__.res_users_604"
"__export__.project_task_work_530810","__export__.project_task_71859","__export__.project_task_work_summary_type_30","7./ Menu: screen shown after login is called main dashboard, and apps in it are called Top Level Menu, Odoo Model: ir.ui.menu, defines menu hierarchy and lists menu that has action associated with it.","1.0","2022-01-20 03:53:49","2022-01-20 04:04:48","__export__.res_users_604"
"__export__.project_task_work_530760","__export__.project_task_71859","__export__.project_task_work_summary_type_30","6./ Views: list view, kanban view, calendar view, pivot view, graph view, activity view, form view, search view.  -> we can define multiple views for a single model also.  -=> Action: defines what to do. can load view, run a script in background, attached to model. called form menu or contextual menu, types of action: ->> Window, Server, Client, URL, Report, Schedule Action or Cron Job, Odoo model: ir.actions.actions, ir.actions.act_window","2.0","2022-01-19 13:53:07","2022-01-20 04:04:48","__export__.res_users_604"
"__export__.project_task_work_530617","__export__.project_task_71859","__export__.project_task_work_summary_type_30","5./ Fields: Fields are basically like column in database but in odoo we call it field instead of column. Likewise Fields also have datatypes. In Odoo datatypes of fields are Integer, Float, Boolean, Char, Html, Binary, Image, ManytoOne, OnetoMany etc...,   -=> Attributes: required, readonly, copy, index, invisible,default etc.. ","2.0","2022-01-19 10:16:29","2022-01-19 10:16:29","__export__.res_users_604"
"__export__.project_task_work_530612","__export__.project_task_71859","__export__.project_task_work_summary_type_30","4./ Model: Model is basically a folder or a database table in loose definition. Model handles business logic and communicates with database to perform and fulfil the needs of that business logic.   -=> Model, Transient Model, Abstract Model, Transient Model : Stores Data Temporary, It may used in wizards or popup screens because in such cases we don't need that data in future after our work is completed similarly can be used to generate reports.","2.0","2022-01-19 10:11:16","2022-01-19 10:11:16","__export__.res_users_604"
"__export__.project_task_work_530608","__export__.project_task_71859","__export__.project_task_work_summary_type_30","3./ Module: Watched the video and understood that every thing in odoo is module and how we can install and upgrade the module, Developer Mode in Odoo.","0.333333333333","2022-01-19 10:01:04","2022-01-19 10:01:04","__export__.res_users_604"
"__export__.project_task_work_530605","__export__.project_task_71859","__export__.project_task_work_summary_type_30","2./ Meeting with Project Manager Videos are given to us and explained the work and learning process.","0.25","2022-01-19 09:58:00","2022-01-19 09:58:00","__export__.res_users_604"
